Date,Site,Fraction,species,Count,total Sample Count,abundance,m^3 filtered  ,Notes,Notes:General for entire sample,salinity,temperature,lon,wrong,lat,day
17/02/2025,1,4,Oikopleura sp. ,134,536,68.19,7.86,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Chaetognath,10,40,5.09,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Evadne sp. ,8,32,4.07,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Penilia sp.,37,148,18.83,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Podon sp.,7,28,3.56,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Cnidaria ,1,4,0.51,,Obelia ,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Oithona sp.,27,108,13.74,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Calanoida ,625,2500,318.07,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Cyclopodia ,2,8,1.02,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Harpacticoida sp. ,27,108,13.74,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Doliolid ,9,36,4.58,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Fish eggs,31,124,15.78,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Gastropoda ,9,36,4.58,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Gastropoda ,1,4,0.51,,larvae,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Noctiluca,1577,6308,802.54,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Ostracoda ,1,4,0.51,,,,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Other ,157,628,79.9,,"radiolaria, phytoplankton ",,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,1,4,Unknown,3,12,1.53,,"counted for this sample but not for any others, polychatea ? ",,32.69,18.11,148.06135,42.577353,-42.577353,1
17/02/2025,2,8,Amphipoda ,1,8,0.59,13.56,,"phytoplankton, clumps present",35.45,18.16,148.06965,42.551363,-42.551363,1
17/02/2025,2,8,Oikopleura sp. ,17,136,10.03,,,,35.45,18.16,148.06965,42.551363,-42.551363,1
17/02/2025,2,8,Larvae,1,8,0.59,,bryozoan ,,35.45,18.16,148.06965,42.551363,-42.551363,1
17/02/2025,2,8,Unknown,1,8,0.59,,cladocera ,,35.45,18.16,148.06965,42.551363,-42.551363,1
