Sample,N,Richness,N>25,Acanthaluteres vittiger,Aplodactylus arctidens,Cheilodactylus spectabilis,Dinolestes lewini,Notolabrus fucicola,Notolabrus tetricus,Pictilabrus laticlavius
2-1,202,16,11,6,8,15,,21,18,8
2-2,97,20,8,3,6,4,,2,4,1
2-3,87,7,2,70,,1,,2,8,3
2-4,55,13,14,23,4,3,,5,10,1
4-1,330,12,7,2,2,,1,11,9,4
4-2,698,13,33,,4,11,22,24,27,
4-3,186,12,3,4,1,1,,7,3,1
4-4,22,9,9,2,1,,,6,7,2
5-1,244,8,6,,1,,,3,10,8
5-2,696,10,12,3,,,6,16,13,
5-3,373,14,17,6,,3,,16,23,
5-4,120,8,6,,,1,2,2,11,1
6-1,229,14,16,1,2,,1,5,10,8
6-2,137,12,9,8,12,11,,17,17,1
6-3,570,15,33,2,4,3,,29,30,3
6-4,108,11,6,11,3,1,19,,18,1
7-1,194,14,5,,3,2,,17,21,2
7-2,192,17,7,2,3,4,,5,19,12
7-3,244,13,12,1,2,4,,12,31,4
7-4,123,9,7,14,,,,4,17,3
8-1,199,10,3,,7,7,,19,4,
8-2,345,10,2,1,,,,3,1,1
8-3,46,8,6,,,2,,5,19,3
8-4,92,11,12,1,2,3,,8,8,
